strategy,stop_config,period,return_pct,buy_hold_pct,max_dd_pct,sharpe,pf,win_rate_pct,trades,stop_exits,signal_exits,time_in_market_pct
1_EMA_Cross_12_26,entry_low_b1,bull_2020_2021,31.47,521.21,-56.65,0.71,1.37,31.58,209,89,120,57.39
1_EMA_Cross_12_26,pivot_b0.5,bull_2020_2021,111.88,521.21,-48.27,1.43,1.62,34.5,171,32,139,57.82
1_EMA_Cross_12_26,pivot_b1,bull_2020_2021,122.56,521.21,-47.22,1.5,1.68,35.33,167,19,148,57.9
1_EMA_Cross_12_26,break_low3,bull_2020_2021,12.64,521.21,-62.39,0.48,1.29,27.93,222,122,100,57.14
1_EMA_Cross_12_26,break_low5,bull_2020_2021,80.09,521.21,-51.06,1.18,1.52,32.07,184,62,122,57.63
1_EMA_Cross_12_26,break_low8,bull_2020_2021,136.57,521.21,-43.45,1.6,1.7,35.5,169,31,138,57.85
2_EMA_Cross_21_55,sin_SL,bull_2020_2021,308.16,521.21,-26.34,2.46,2.61,38.67,75,0,0,60.38
2_EMA_Cross_21_55,fix_low3_b0.5,bull_2020_2021,118.28,521.21,-37.19,1.48,1.75,29.09,110,55,54,59.88
2_EMA_Cross_21_55,fix_low5_b0.5,bull_2020_2021,165.34,521.21,-31.73,1.78,1.95,31.25,96,36,59,60.08
2_EMA_Cross_21_55,fix_low5_b1,bull_2020_2021,221.42,521.21,-29.22,2.08,2.19,35.71,84,22,61,60.22
2_EMA_Cross_21_55,fix_low8_b0.5,bull_2020_2021,215.97,521.21,-27.75,2.05,2.17,34.12,85,19,65,60.27
2_EMA_Cross_21_55,fix_low10_b0.5,bull_2020_2021,259.89,521.21,-26.6,2.25,2.38,37.5,80,13,66,60.32
2_EMA_Cross_21_55,fix_low20_b0.5,bull_2020_2021,281.98,521.21,-26.6,2.35,2.49,37.66,77,6,70,60.35
2_EMA_Cross_21_55,fix_low50_b0.5,bull_2020_2021,288.08,521.21,-26.34,2.37,2.52,37.66,77,4,72,60.36
2_EMA_Cross_21_55,trail_low3_b0.5,bull_2020_2021,308.16,521.21,-26.34,2.46,2.61,38.67,75,0,74,60.38
2_EMA_Cross_21_55,trail_low5_b0.5,bull_2020_2021,308.16,521.21,-26.34,2.46,2.61,38.67,75,0,74,60.38
2_EMA_Cross_21_55,trail_low8_b0.5,bull_2020_2021,308.16,521.21,-26.34,2.46,2.61,38.67,75,0,74,60.38
2_EMA_Cross_21_55,trail_low10_b0.5,bull_2020_2021,308.16,521.21,-26.34,2.46,2.61,38.67,75,0,74,60.38
2_EMA_Cross_21_55,trail_low20_b0.5,bull_2020_2021,315.14,521.21,-26.34,2.49,2.66,38.16,76,1,74,60.37
2_EMA_Cross_21_55,trade_low_b0.5,bull_2020_2021,308.16,521.21,-26.34,2.46,2.61,38.67,75,0,74,60.38
2_EMA_Cross_21_55,trade_low_b1,bull_2020_2021,308.16,521.21,-26.34,2.46,2.61,38.67,75,0,74,60.38
2_EMA_Cross_21_55,entry_low_b0.5,bull_2020_2021,49.65,521.21,-45.94,0.92,1.49,24.36,156,107,48,59.4
2_EMA_Cross_21_55,entry_low_b1,bull_2020_2021,112.55,521.21,-39.28,1.44,1.74,27.42,124,68,55,59.78
2_EMA_Cross_21_55,pivot_b0.5,bull_2020_2021,181.73,521.21,-32.43,1.87,2.02,34.04,94,27,66,60.14
2_EMA_Cross_21_55,pivot_b1,bull_2020_2021,219.61,521.21,-31.63,2.07,2.18,36.47,85,19,65,60.24
2_EMA_Cross_21_55,break_low3,bull_2020_2021,76.71,521.21,-46.94,1.16,1.61,23.13,147,93,53,59.51
2_EMA_Cross_21_55,break_low5,bull_2020_2021,120.7,521.21,-34.86,1.5,1.77,27.93,111,55,55,59.89
2_EMA_Cross_21_55,break_low8,bull_2020_2021,185.34,521.21,-31.63,1.89,2.04,31.91,94,34,59,60.09
6_BB_Squeeze_Break,sin_SL,bull_2020_2021,-5.99,521.21,-40.31,0.0,1.22,36.72,128,0,0,20.31
6_BB_Squeeze_Break,fix_low3_b0.5,bull_2020_2021,-17.84,521.21,-46.48,-0.34,1.1,36.43,129,14,115,20.29
6_BB_Squeeze_Break,fix_low5_b0.5,bull_2020_2021,-16.11,521.21,-46.31,-0.29,1.12,36.43,129,10,119,20.29
6_BB_Squeeze_Break,fix_low5_b1,bull_2020_2021,-13.54,521.21,-45.11,-0.21,1.14,36.43,129,3,126,20.29
6_BB_Squeeze_Break,fix_low8_b0.5,bull_2020_2021,-15.13,521.21,-45.71,-0.26,1.13,36.43,129,6,123,20.29
6_BB_Squeeze_Break,fix_low10_b0.5,bull_2020_2021,-13.45,521.21,-44.64,-0.21,1.14,36.43,129,4,125,20.29
6_BB_Squeeze_Break,fix_low20_b0.5,bull_2020_2021,-13.45,521.21,-44.64,-0.21,1.14,36.43,129,4,125,20.29
6_BB_Squeeze_Break,fix_low50_b0.5,bull_2020_2021,-12.43,521.21,-43.99,-0.18,1.15,36.43,129,3,126,20.29
6_BB_Squeeze_Break,trail_low3_b0.5,bull_2020_2021,-5.99,521.21,-40.31,0.0,1.22,36.72,128,0,128,20.31
6_BB_Squeeze_Break,trail_low5_b0.5,bull_2020_2021,-5.99,521.21,-40.31,0.0,1.22,36.72,128,0,128,20.31
6_BB_Squeeze_Break,trail_low8_b0.5,bull_2020_2021,-5.99,521.21,-40.31,0.0,1.22,36.72,128,0,128,20.31
6_BB_Squeeze_Break,trail_low10_b0.5,bull_2020_2021,-5.99,521.21,-40.31,0.0,1.22,36.72,128,0,128,20.31
6_BB_Squeeze_Break,trail_low20_b0.5,bull_2020_2021,-6.03,521.21,-40.31,0.0,1.21,36.72,128,1,127,20.31
6_BB_Squeeze_Break,trade_low_b0.5,bull_2020_2021,-5.99,521.21,-40.31,0.0,1.22,36.72,128,0,128,20.31
6_BB_Squeeze_Break,trade_low_b1,bull_2020_2021,-5.99,521.21,-40.31,0.0,1.22,36.72,128,0,128,20.31
6_BB_Squeeze_Break,entry_low_b0.5,bull_2020_2021,-32.61,521.21,-52.6,-0.84,0.97,33.81,139,48,91,20.18
6_BB_Squeeze_Break,entry_low_b1,bull_2020_2021,-21.22,521.21,-47.87,-0.44,1.07,36.15,130,22,108,20.27
6_BB_Squeeze_Break,pivot_b0.5,bull_2020_2021,-16.91,521.21,-46.43,-0.31,1.11,36.43,129,10,119,20.29
6_BB_Squeeze_Break,pivot_b1,bull_2020_2021,-13.54,521.21,-45.11,-0.21,1.14,36.43,129,3,126,20.29
6_BB_Squeeze_Break,break_low3,bull_2020_2021,-24.39,521.21,-50.22,-0.55,1.04,35.61,132,31,101,20.25
6_BB_Squeeze_Break,break_low5,bull_2020_2021,-22.2,521.21,-48.83,-0.48,1.06,36.15,130,24,106,20.28
6_BB_Squeeze_Break,break_low8,bull_2020_2021,-18.89,521.21,-47.1,-0.37,1.09,36.43,129,16,113,20.29
10_Supertrend_Bull,sin_SL,bull_2020_2021,106.51,521.21,-38.81,1.48,1.72,50.0,108,0,0,52.54
10_Supertrend_Bull,fix_low3_b0.5,bull_2020_2021,23.24,521.21,-54.35,0.62,1.31,41.54,130,44,87,52.28
10_Supertrend_Bull,fix_low5_b0.5,bull_2020_2021,35.7,521.21,-49.82,0.77,1.37,43.9,123,32,92,52.38
10_Supertrend_Bull,fix_low5_b1,bull_2020_2021,50.86,521.21,-47.23,0.95,1.44,46.55,116,20,97,52.46
10_Supertrend_Bull,fix_low8_b0.5,bull_2020_2021,57.79,521.21,-45.41,1.02,1.47,46.96,115,20,96,52.47
10_Supertrend_Bull,fix_low10_b0.5,bull_2020_2021,67.63,521.21,-43.32,1.13,1.52,46.49,114,16,99,52.48
10_Supertrend_Bull,fix_low20_b0.5,bull_2020_2021,82.11,521.21,-39.47,1.27,1.59,47.75,111,9,103,52.51
10_Supertrend_Bull,fix_low50_b0.5,bull_2020_2021,85.21,521.21,-39.29,1.29,1.6,48.18,110,6,105,52.52
10_Supertrend_Bull,trail_low3_b0.5,bull_2020_2021,106.51,521.21,-38.81,1.48,1.72,50.0,108,0,109,52.54
10_Supertrend_Bull,trail_low5_b0.5,bull_2020_2021,106.51,521.21,-38.81,1.48,1.72,50.0,108,0,109,52.54
10_Supertrend_Bull,trail_low8_b0.5,bull_2020_2021,106.51,521.21,-38.81,1.48,1.72,50.0,108,0,109,52.54
10_Supertrend_Bull,trail_low10_b0.5,bull_2020_2021,106.51,521.21,-38.81,1.48,1.72,50.0,108,0,109,52.54
10_Supertrend_Bull,trail_low20_b0.5,bull_2020_2021,106.41,521.21,-38.81,1.48,1.72,50.0,108,1,108,52.54
10_Supertrend_Bull,trade_low_b0.5,bull_2020_2021,106.51,521.21,-38.81,1.48,1.72,50.0,108,0,109,52.54
10_Supertrend_Bull,trade_low_b1,bull_2020_2021,106.51,521.21,-38.81,1.48,1.72,50.0,108,0,109,52.54
10_Supertrend_Bull,entry_low_b0.5,bull_2020_2021,-22.45,521.21,-65.3,-0.12,1.11,31.07,177,105,73,51.76
10_Supertrend_Bull,entry_low_b1,bull_2020_2021,10.5,521.21,-55.63,0.44,1.25,38.03,142,63,80,52.13
10_Supertrend_Bull,pivot_b0.5,bull_2020_2021,41.09,521.21,-48.23,0.84,1.39,44.63,121,29,93,52.4
10_Supertrend_Bull,pivot_b1,bull_2020_2021,50.5,521.21,-46.87,0.94,1.43,46.55,116,19,98,52.45
10_Supertrend_Bull,break_low3,bull_2020_2021,-0.02,521.21,-59.87,0.28,1.21,35.06,154,79,76,52.03
10_Supertrend_Bull,break_low5,bull_2020_2021,12.33,521.21,-55.58,0.47,1.26,38.85,139,59,81,52.18
10_Supertrend_Bull,break_low8,bull_2020_2021,41.43,521.21,-49.05,0.84,1.4,44.26,122,33,90,52.37
